Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Region,City,Quantity,Sales,Profit
ORD00001,07-09-2024,CUST1228,Allison Hill,Mouse,Electronics,South,Mumbai,1,500,125.94
ORD00002,05-04-2024,CUST1223,Noah Rhodes,Mouse,Electronics,South,Delhi,7,3500,553.68
ORD00003,26-08-2025,CUST1284,Angie Henderson,Monitor,Electronics,North,Bengaluru,7,84000,10486.53
ORD00004,08-08-2024,CUST1980,Daniel Wagner,Notebook,Office Supplies,East,Mumbai,6,600,156.01
ORD00005,18-12-2024,CUST1618,Cristian Santos,Mouse,Electronics,East,Delhi,7,3500,583.68
ORD00006,22-01-2025,CUST1080,Connie Lawrence,Printer,Office Supplies,East,Chennai,2,18000,2310.97
ORD00007,21-08-2024,CUST1791,Abigail Shaffer,Monitor,Electronics,East,Mumbai,2,24000,2618.98
ORD00008,09-04-2025,CUST1650,Gina Moore,Monitor,Electronics,East,Bengaluru,2,24000,3341.07
ORD00009,30-09-2024,CUST1718,Gabrielle Davis,Desk,Furniture,North,Bengaluru,6,90000,8917.61
ORD00010,03-10-2024,CUST1947,Ryan Munoz,Monitor,Electronics,South,Chennai,3,36000,5277.72
ORD00011,19-11-2024,CUST1410,Monica Herrera,Laptop,Electronics,East,Mumbai,4,200000,42950.94
ORD00012,26-05-2025,CUST1405,Jamie Arnold,Monitor,Electronics,West,Bengaluru,6,72000,8937.82
ORD00013,28-07-2025,CUST1551,Lisa Hensley,Chair,Furniture,East,Kolkata,3,21000,4451.88
ORD00014,21-05-2024,CUST1521,Michele Williams,Notebook,Office Supplies,West,Mumbai,6,600,149.69
ORD00015,12-06-2024,CUST1811,Dylan Miller,Laptop,Electronics,West,Mumbai,2,100000,14250.69
ORD00016,24-04-2025,CUST1541,Brian Ramirez,Notebook,Office Supplies,East,Delhi,7,700,222.08
ORD00017,14-12-2024,CUST1114,Holly Wood,Mouse,Electronics,East,Kolkata,5,2500,638.64
ORD00018,26-09-2024,CUST1995,Derek Zuniga,Keyboard,Electronics,South,Mumbai,8,9600,1347.74
ORD00019,14-06-2024,CUST1552,Lisa Jackson,Chair,Furniture,North,Chennai,4,28000,5541.92
ORD00020,06-01-2025,CUST1899,Carla Gray,Printer,Office Supplies,East,Ahmedabad,1,9000,690.41
ORD00021,21-03-2024,CUST1087,Margaret Hawkins DDS,Laptop,Electronics,West,Mumbai,4,200000,44165.01
ORD00022,16-07-2025,CUST1169,Patty Perez,Keyboard,Electronics,East,Kolkata,3,3600,789.01
ORD00023,12-02-2025,CUST1687,Ethan Adams,Monitor,Electronics,East,Hyderabad,4,48000,8119.94
ORD00024,06-03-2024,CUST1346,Tommy Walter,Printer,Office Supplies,North,Ahmedabad,2,18000,1527.74
ORD00025,08-10-2025,CUST1060,Matthew Foster,Monitor,Electronics,South,Mumbai,1,12000,1336.67
ORD00026,31-08-2024,CUST1285,Judy Baker,Laptop,Electronics,West,Ahmedabad,6,300000,40095.78
ORD00027,29-04-2025,CUST1826,Justin Baker,Keyboard,Electronics,West,Ahmedabad,8,9600,1623.93
ORD00028,28-12-2024,CUST1433,Stephanie Ross,Mouse,Electronics,West,Hyderabad,2,1000,240.99
ORD00029,13-12-2024,CUST1819,Zachary Hicks,Laptop,Electronics,North,Ahmedabad,2,100000,13254.62
ORD00030,23-05-2024,CUST1432,Anthony Rodriguez,Monitor,Electronics,South,Pune,4,48000,7356.75
ORD00031,18-03-2024,CUST1453,Rebecca Henderson,Printer,Office Supplies,North,Delhi,4,36000,4408.89
ORD00032,30-08-2024,CUST1170,James Ferrell,Laptop,Electronics,West,Hyderabad,2,100000,22604.76
ORD00033,01-03-2024,CUST1168,Tricia Valencia,Printer,Office Supplies,West,Delhi,4,36000,4387.64
ORD00034,10-04-2025,CUST1292,Nathan Maldonado,Notebook,Office Supplies,West,Hyderabad,5,500,188.39
ORD00035,29-02-2024,CUST1593,Debra Davidson,Keyboard,Electronics,North,Chennai,4,4800,842.9
ORD00036,29-05-2025,CUST1941,Jeffrey Chavez,Laptop,Electronics,South,Delhi,1,50000,9454.56
ORD00037,10-03-2024,CUST1691,Sherri Baker,Mouse,Electronics,South,Kolkata,3,1500,244.57
ORD00038,10-02-2024,CUST1634,Cassandra Gaines,Mouse,Electronics,North,Kolkata,4,2000,460.83
